N	K	TruePrice	CM	FST	COS	MCFT1	MCFT2	SET
8192	20	12.3311	12.3313	12.3311	12.3309	12.3501	12.3316	1
8192	21	13.1899	13.1902	13.1899	13.1897	13.218	13.1904	1
8192	22	14.0562	14.0565	14.0562	14.056	14.0855	14.0591	1
8192	23	14.9292	14.9295	14.9292	14.929	14.9615	14.9318	1
8192	24	15.8085	15.8085	15.8085	15.8082	15.8413	15.8106	1
8192	25	16.6934	16.6936	16.6934	16.693	16.7238	16.694	1
8192	26	17.5835	17.5837	17.5835	17.5831	17.6202	17.5864	1
8192	27	18.4785	18.4787	18.4785	18.478	18.492	18.4687	1
8192	28	19.3778	19.378	19.3778	19.3772	19.4067	19.3718	1
8192	29	20.2813	20.2815	20.2813	20.2806	20.2952	20.2796	1
8192	30	21.1885	21.1885	21.1885	21.1877	21.2263	21.1907	1
8192	31	22.0992	22.0994	22.0992	22.0984	22.1343	22.094	1
8192	32	23.0132	23.0134	23.0132	23.0122	23.0491	23.0125	1
8192	33	23.9302	23.9304	23.9302	23.9292	23.9617	23.9126	1
8192	34	24.8501	24.8501	24.8501	24.8489	24.8728	24.8353	1
8192	35	25.7726	25.7727	25.7726	25.7713	25.7933	25.7556	1
8192	36	26.6975	26.6977	26.6975	26.6961	26.7502	26.7056	1
8192	37	27.6248	27.625	27.6248	27.6232	27.7444	27.6321	1
8192	38	28.5543	28.5545	28.5543	28.5525	28.7006	28.565	1
8192	39	29.4858	29.486	29.4858	29.4838	29.698	29.4981	1
8192	40	30.4192	30.4194	30.4192	30.4171	30.6319	30.4137	1
8192	41	31.3544	31.3546	31.3544	31.3521	31.6383	31.3542	1
8192	42	32.2913	32.2915	32.2913	32.2888	32.5844	32.2862	1
8192	43	33.2297	33.2299	33.2297	33.227	33.6068	33.236	1
8192	44	34.1697	34.1699	34.1697	34.1668	34.5448	34.1659	1
8192	45	35.1112	35.1113	35.1112	35.108	35.5274	35.103	1
8192	46	36.0539	36.054	36.0539	36.0505	36.4918	36.0395	1
8192	47	36.998	36.998	36.998	36.9943	37.5086	37.0106	1
8192	48	37.9432	37.9434	37.9432	37.9392	38.4367	37.9388	1
8192	49	38.8896	38.8898	38.8896	38.8853	39.4056	38.8728	1
8192	50	39.8371	39.8373	39.8371	39.8325	40.3955	39.8259	1
512	80	3.71703	3.71612	3.72159	3.71703	3.39746	3.72162	2
512	80.8	3.90209	3.90476	3.90935	3.90209	3.58882	3.90701	2
512	81.6	4.09333	4.0934	4.10252	4.09333	3.77885	4.09386	2
512	82.4	4.29085	4.29263	4.29569	4.29085	3.98233	4.29105	2
512	83.2	4.49468	4.49735	4.50257	4.49468	4.19936	4.50098	2
512	84	4.7049	4.70322	4.71496	4.7049	4.41494	4.71139	2
512	84.8	4.92156	4.92481	4.92736	4.92156	4.63951	4.91902	2
512	85.6	5.14471	5.14641	5.15267	5.14471	4.86427	5.142	2
512	86.4	5.37438	5.37526	5.38537	5.37438	5.10291	5.37163	2
512	87.2	5.61063	5.61449	5.61806	5.61063	5.35025	5.61727	2
512	88	5.85348	5.85371	5.86071	5.85348	5.6031	5.86001	2
512	88.8	6.10296	6.10553	6.11468	6.10296	5.85292	6.1061	2
512	89.6	6.3591	6.36307	6.36865	6.3591	6.12044	6.36232	2
512	90.4	6.62192	6.6206	6.62715	6.62192	6.38542	6.61836	2
512	91.2	6.89142	6.89507	6.90325	6.89142	6.6597	6.88802	2
512	92	7.16763	7.17152	7.17935	7.16763	6.94861	7.16426	2
512	92.8	7.45054	7.44859	7.45544	7.45054	7.23161	7.44536	2
512	93.6	7.74015	7.74447	7.75083	7.74015	7.53508	7.7351	2
512	94.4	8.03645	8.04034	8.04976	8.03645	7.79918	7.99628	2
512	95.2	8.33945	8.33812	8.34869	8.33945	8.11475	8.29809	2
512	96	8.64911	8.65383	8.6566	8.64911	8.42488	8.60676	2
512	96.8	8.96543	8.96953	8.9789	8.96543	8.77709	8.94586	2
512	97.6	9.28837	9.28697	9.30119	9.28837	9.10357	9.26866	2
512	98.4	9.61792	9.62279	9.62349	9.61792	9.47077	9.62769	2
512	99.2	9.95404	9.95861	9.96526	9.95404	9.81175	9.96428	2
512	100	10.2967	10.2944	10.3113	10.2967	10.1703	10.2721	2
512	100.8	10.6458	10.6505	10.6573	10.6458	10.489	10.6207	2
512	101.6	11.0014	11.0066	11.0069	11.0014	10.8468	10.9756	2
512	102.4	11.3634	11.3628	11.3767	11.3634	11.2544	11.3719	2
512	103.2	11.7318	11.7358	11.7466	11.7318	11.6393	11.7407	2
512	104	12.1064	12.1123	12.1164	12.1064	11.9958	12.092	2
512	104.8	12.4873	12.4887	12.4952	12.4873	12.3754	12.4734	2
