N	K	TruePrice	CM	FST	COS	MCFT1	MCFT2	SET
8192	100	14.0691	14.0691	14.0692	14.0691	13.8796	14.1087	3
8192	100.8	14.4692	14.4768	14.4693	14.4692	14.2637	14.4828	3
8192	101.6	14.8764	14.8845	14.8764	14.8764	14.6868	14.8903	3
8192	102.4	15.2905	15.2922	15.2906	15.2905	15.1063	15.2949	3
8192	103.2	15.7116	15.7186	15.7117	15.7116	15.537	15.7164	3
8192	104	16.1396	16.1486	16.1397	16.1396	15.9579	16.1447	3
8192	104.8	16.5746	16.5786	16.5746	16.5746	16.4068	16.5854	3
8192	105.6	17.0163	17.0218	17.0164	17.0163	16.8671	17.0272	3
8192	106.4	17.4649	17.4741	17.4649	17.4649	17.3356	17.4848	3
8192	107.2	17.9201	17.9265	17.9202	17.9201	17.7976	17.9393	3
8192	108	18.382	18.3848	18.3821	18.382	18.2594	18.38	3
8192	108.8	18.8506	18.8594	18.8506	18.8506	18.7133	18.849	3
8192	109.6	19.3256	19.334	19.3256	19.3256	19.2129	19.3235	3
8192	110.4	19.807	19.8086	19.8071	19.807	19.6996	19.7973	3
8192	111.2	20.2948	20.3018	20.2949	20.2948	20.1894	20.2855	3
8192	112	20.7889	20.7983	20.7889	20.7889	20.7099	20.801	3
8192	112.8	21.2891	21.2947	21.2892	21.2891	21.2154	21.3012	3
8192	113.6	21.7954	21.7987	21.7954	21.7954	21.7458	21.7705	3
8192	114.4	22.3076	22.3164	22.3076	22.3076	22.2257	22.283	3
8192	115.2	22.8257	22.8341	22.8258	22.8257	22.7409	22.8011	3
8192	116	23.3496	23.3518	23.3496	23.3496	23.2507	23.3003	3
8192	116.8	23.8791	23.8852	23.8791	23.8791	23.7795	23.8293	3
8192	117.6	24.4141	24.4232	24.4141	24.4141	24.3951	24.4142	3
8192	118.4	24.9546	24.9613	24.9546	24.9546	24.9351	24.9544	3
8192	119.2	25.5003	25.5012	25.5004	25.5003	25.4739	25.485	3
8192	120	26.0513	26.0587	26.0513	26.0513	26.042	26.0364	3
