N	K	TruePrice	CM	FST	COS	SET
4096	111.2	4.25399	4.2522	4.25419	4.25384	1
4096	112	4.04604	4.04411	4.04621	4.04597	1
4096	112.8	3.85275	3.85202	3.85288	3.85278	1
4096	113.6	3.67243	3.67282	3.67252	3.67258	1
4096	114.4	3.50375	3.5044	3.50378	3.50397	1
4096	115.2	3.34559	3.34604	3.34553	3.3458	1
4096	116	3.197	3.19713	3.19683	3.19709	1
4096	116.8	3.05716	3.05708	3.05709	3.0571	1
4096	117.6	2.92537	2.92525	2.9254	2.92518	1
4096	118.4	2.80099	2.80095	2.80108	2.8008	1
4096	119.2	2.68346	2.68353	2.68356	2.68341	1
4096	120	2.5723	2.57239	2.57234	2.57244	1
8192	80	23.6585	23.6585	23.6586	23.6586	1
8192	80.8	23.018	23.018	23.0181	23.018	1
8192	81.6	22.3819	22.3819	22.3819	22.3819	1
8192	82.4	21.7503	21.7503	21.7503	21.7503	1
8192	83.2	21.1234	21.1234	21.1234	21.1234	1
8192	84	20.5013	20.5013	20.5014	20.5013	1
8192	84.8	19.8843	19.8843	19.8843	19.8843	1
8192	85.6	19.2724	19.2724	19.2724	19.2724	1
8192	86.4	18.6658	18.6658	18.6659	18.6658	1
8192	87.2	18.0648	18.0648	18.0648	18.0648	1
8192	88	17.4695	17.4694	17.4695	17.4695	1
8192	88.8	16.88	16.88	16.8801	16.88	1
8192	89.6	16.2967	16.2966	16.2967	16.2967	1
8192	90.4	15.7196	15.7196	15.7197	15.7197	1
8192	91.2	15.1491	15.1491	15.1492	15.1491	1
8192	92	14.5854	14.5854	14.5854	14.5854	1
8192	92.8	14.0287	14.0287	14.0288	14.0288	1
8192	93.6	13.4793	13.4793	13.4794	13.4793	1
8192	94.4	12.9374	12.9374	12.9375	12.9375	1
8192	95.2	12.4034	12.4034	12.4035	12.4035	1
8192	96	11.8776	11.8776	11.8777	11.8776	1
8192	96.8	11.3603	11.3602	11.3603	11.3603	1
8192	97.6	10.8518	10.8518	10.8519	10.8519	1
8192	98.4	10.3527	10.3526	10.3527	10.3527	1
8192	99.2	9.86313	9.86313	9.86315	9.86318	1
8192	100	9.38375	9.38368	9.38381	9.38379	1
8192	100.8	8.915	8.91475	8.91503	8.91504	1
